agency_name,parent_agency_name,description
Social Security Administration,Social Security Administration,"The Social Security Administration manages the Nation's social insurance program--consisting of retirement, survivors, and disability insurance programs--commonly known as Social Security; administers the Supplemental Security Income program for the aged, blind, and disabled; assigns Social Security numbers to U.S. citizens; and maintains earnings records for workers under their Social Security numbers.
The Social Security Administration (SSA) was established by Reorganization Plan No. 2 of 1946 (5 U.S.C. app.), effective July 16, 1946. It became an independent agency in the executive branch by the Social Security Independence and Program Improvements Act of 1994 (42 U.S.C. 901), effective March 31, 1995."
Social Security Administration,Social Security Administration,"The Social Security Administration manages the Nation's social insurance program--consisting of retirement, survivors, and disability insurance programs--commonly known as Social Security; administers the Supplemental Security Income program for the aged, blind, and disabled; assigns Social Security numbers to U.S. citizens; and maintains earnings records for workers under their Social Security numbers.
The Social Security Administration (SSA) was established by Reorganization Plan No. 2 of 1946 (5 U.S.C. app.), effective July 16, 1946. It became an independent agency in the executive branch by the Social Security Independence and Program Improvements Act of 1994 (42 U.S.C. 901), effective March 31, 1995."
Social Security Administration,Social Security Administration,"The Social Security Administration manages the Nation's social insurance program--consisting of retirement, survivors, and disability insurance programs--commonly known as Social Security; administers the Supplemental Security Income program for the aged, blind, and disabled; assigns Social Security numbers to U.S. citizens; and maintains earnings records for workers under their Social Security numbers.
The Social Security Administration (SSA) was established by Reorganization Plan No. 2 of 1946 (5 U.S.C. app.), effective July 16, 1946. It became an independent agency in the executive branch by the Social Security Independence and Program Improvements Act of 1994 (42 U.S.C. 901), effective March 31, 1995."
Southeastern Power Administration,Energy Department,"The Southeastern Power Administration is responsible for the transmission and disposition of surplus electric power and energy generated at reservoir projects in the States of West Virginia, Virginia, North Carolina, South Carolina, Georgia, Florida, Alabama, Mississippi, Tennessee, and Kentucky.
The Administration sets the lowest possible rates to consumers, consistent with sound business principles, and gives preference in the sale of such power and energy to public bodies and cooperatives."
Southwestern Power Administration,Energy Department,"The Southwestern Power Administration is responsible for the sale and disposition of electric power and energy in the States of Arkansas, Kansas, Louisiana, Missouri, Oklahoma, and Texas.
The Southwestern Power Administration transmits and disposes of the electric power and energy generated at Federal reservoir projects, supplemented by power purchased from public and private utilities, in such a manner as to encourage the most widespread and economical use. 
The Administration sets the lowest possible rates to consumers, consistent with sound business principles, and gives preference in the sale of power and energy to public bodies and cooperatives.
The Administration also conducts and participates in the comprehensive planning of water resource development in the Southwest."
Special Counsel Office,,
Special Inspector General For Iraq Reconstruction,,
Special Trustee for American Indians Office,Interior Department,"The Office of the Special Trustee for American Indians (OST) oversees Indian trust reform efforts departmentwide to ensure the establishment of policies, procedures, systems, and practices to allow the Secretary to discharge the Government's fiduciary trust responsibilities to American Indians and tribes. OST also has programmatic responsibility for the management of financial trust assets, asset appraisals, and fiduciary trust beneficiary services."
State Department,State Department,"The Department of State advises the President in the formulation and execution of foreign policy and promotes the long-range security and well-being of the United States. The Department determines and analyzes the facts relating to American overseas interests, makes recommendations on policy and future action, and takes the necessary steps to carry out established policy. In so doing, the Department engages in continuous consultations with the American public, the Congress, other U.S. departments and agencies, and foreign governments; negotiates treaties and agreements with foreign nations; speaks for the United States in the United Nations and other international organizations in which the United States participates; and represents the United States at international conferences.
The Department of State was established by act of July 27, 1789, as the Department of Foreign Affairs and was renamed Department of State by Act of September 15, 1789 (22 U.S.C. 2651 note)."
State Department,State Department,"The Department of State advises the President in the formulation and execution of foreign policy and promotes the long-range security and well-being of the United States. The Department determines and analyzes the facts relating to American overseas interests, makes recommendations on policy and future action, and takes the necessary steps to carry out established policy. In so doing, the Department engages in continuous consultations with the American public, the Congress, other U.S. departments and agencies, and foreign governments; negotiates treaties and agreements with foreign nations; speaks for the United States in the United Nations and other international organizations in which the United States participates; and represents the United States at international conferences.
The Department of State was established by act of July 27, 1789, as the Department of Foreign Affairs and was renamed Department of State by Act of September 15, 1789 (22 U.S.C. 2651 note)."
State Department,State Department,"The Department of State advises the President in the formulation and execution of foreign policy and promotes the long-range security and well-being of the United States. The Department determines and analyzes the facts relating to American overseas interests, makes recommendations on policy and future action, and takes the necessary steps to carry out established policy. In so doing, the Department engages in continuous consultations with the American public, the Congress, other U.S. departments and agencies, and foreign governments; negotiates treaties and agreements with foreign nations; speaks for the United States in the United Nations and other international organizations in which the United States participates; and represents the United States at international conferences.
The Department of State was established by act of July 27, 1789, as the Department of Foreign Affairs and was renamed Department of State by Act of September 15, 1789 (22 U.S.C. 2651 note)."
State Department,State Department,"The Department of State advises the President in the formulation and execution of foreign policy and promotes the long-range security and well-being of the United States. The Department determines and analyzes the facts relating to American overseas interests, makes recommendations on policy and future action, and takes the necessary steps to carry out established policy. In so doing, the Department engages in continuous consultations with the American public, the Congress, other U.S. departments and agencies, and foreign governments; negotiates treaties and agreements with foreign nations; speaks for the United States in the United Nations and other international organizations in which the United States participates; and represents the United States at international conferences.
The Department of State was established by act of July 27, 1789, as the Department of Foreign Affairs and was renamed Department of State by Act of September 15, 1789 (22 U.S.C. 2651 note)."
State Justice Institute,,"The State Justice Institute awards grants to improve judicial 
administration in the State courts of the United States.
The State Justice Institute was created by the State Justice Institute 
Act of 1984 (42 U.S.C. 10701) as a private, nonprofit corporation to 
further the development and improvement of judicial administration in 
the State courts."
Strategic Environmental Research and Development Program Scientific Advisory Board,,
Substance Abuse and Mental Health Services Administration,Health and Human Services Department,"The Substance Abuse and Mental Health Services Administration (SAMHSA) funds and administers grant programs and contracts that support, expand, enhance, and improve the quality, availability, and range of substance abuse treatment and mental health services. SAMHSA has a matrix management system that outlines and guides its activities to improve the accountability, capacity, and effectiveness of the Nation's substance abuse prevention, addictions treatment, and mental health service delivery systems. The system includes 11 program priority areas: co-occurring disorders, substance abuse treatment capacity, seclusion and restraint, children and families, mental health system transformation, suicide prevention, homelessness, older adults, HIV/AIDS and Hepatitis, criminal and juvenile, and workforce development."
Surface Mining Reclamation and Enforcement Office,Interior Department,"The Office of Surface Mining Reclamation and Enforcement (OSM) was established in the Department of the Interior by the Surface Mining Control and Reclamation Act of 1977 (30 U.S.C. 1211).
The Office's primary goal is to assist States in operating a nationwide program that protects society and the environment from the adverse effects of coal mining, while ensuring that surface coal mining can be done without permanent damage to land and water resources. With most coal mining States responsible for regulating coal mining and reclamation activities within their borders, OSM's main objectives are to oversee State mining regulatory and abandoned-mine reclamation programs, assist States in meeting the objectives of the surface mining law, and regulate mining and reclamation activities on Federal and Indian lands, and in those States choosing not to assume primary responsibility."
Surface Transportation Board,Transportation Department,"The Surface Transportation Board was established in 1996 by the Interstate Commerce Commission (ICC) Termination Act of 1995 (49 U.S.C. 
10101 et seq.) as an independent adjudicatory body organizationally housed within the Department of Transportation with jurisdiction over certain surface transportation economic regulatory matters formerly under ICC jurisdiction. The Board consists of three members, appointed by the President with the advice and consent of the Senate for 5-year terms.
The Board adjudicates disputes and regulates interstate surface transportation through various laws pertaining to the different modes of surface transportation. The Board's general responsibilities include the oversight of firms engaged in transportation in interstate and foreign commerce to the extent that it takes place within the United States, or between or among points in the contiguous United States and points in Alaska, Hawaii, or U.S. territories or possessions. Surface transportation matters under the Board's jurisdiction in general include railroad rate and service issues, rail restructuring transactions (mergers, line sales, line construction, and line abandonments), and labor matters related thereto; certain trucking company, moving van, and noncontiguous ocean shipping company rate matters; certain intercity passenger bus company structure, financial, and operational matters; and certain pipeline matters not regulated by the Federal Energy Regulatory Commission.
In performing its functions, the Board is charged with promoting, where appropriate, substantive and procedural regulatory reform and providing an efficient and effective forum for the resolution of disputes. Through the granting of exemptions from regulations where warranted, the streamlining of its decisionmaking process and the regulations applicable thereto, and the consistent and fair application of legal and equitable principles, the Board seeks to provide an effective forum for efficient dispute resolution and facilitation of appropriate market-based business transactions. Through rulemakings and case disposition, it strives to develop new and better ways to analyze unique and complex problems, to reach fully justified decisions more quickly, to reduce the costs associated with regulatory oversight, and to encourage private sector negotiations and resolutions to problems, where appropriate."
Susquehanna River Basin Commission,,"The Susquehanna River Basin Commission (SRBC) was established by the Susquehanna River Basin Compact, signed into law on December 24, 1970.
Its mission, as defined in the Compact, is to enhance public welfare through comprehensive planning, water supply allocation, and management of the water resources of the Susquehanna River Basin. 
To accomplish this mission, the SRBC works to: reduce damages caused by floods; provide for the reasonable and sustained development and use of surface and ground water for municipal, agricultural, recreational, commercial and industrial purposes; protect and restore fisheries, wetlands and aquatic habitat; protect water quality and instream uses; and ensure future availability of flows to the Chesapeake Bay. "
Synthetic Fuels Corporation,,The Synthetic Fuels Corporation was a U.S. government-funded corporation established in 1980 by the Synthetic Fuels Corporation Act to create a market for synthetic fuel alternatives to imported fossil fuels (such as coal gasification). The corporation was abolished in 1985.
Technology Administration,Commerce Department,• The Technology Administration is a part of the Department of Commerce which includes the National Institute of Standards and Technology; the National Technical Information Service; and a policy analysis office known as the Office of Technology Policy. 
Technology Assessment Office,,"The Office of Technology Assessment (OTA) was created by the Technology Assessment Act of 1972 to help the Congress anticipate and plan for the consequences of uses of technology. 
The Office provided an independent and objective source of information about the impacts, both beneficial and adverse, of technological applications and identified policy alternatives for technology-related issues. 
The Office began operations in 1974. The Office has been inactive as of September 30, 1995."
Tennessee Valley Authority,Tennessee Valley Authority,"The Tennessee Valley Authority conducts a unified program of resource development for the advancement of economic growth in the Tennessee Valley region.
The Tennessee Valley Authority (TVA) is a wholly owned Government corporation created by act of May 18, 1933 (16 U.S.C. 831-831dd). All functions of the Authority are vested in its nine-member Board of Directors, the members of which are appointed by the President with the advice and consent of the Senate. The Board designates one member as Chairman."
Tennessee Valley Authority,Tennessee Valley Authority,"The Tennessee Valley Authority conducts a unified program of resource development for the advancement of economic growth in the Tennessee Valley region.
The Tennessee Valley Authority (TVA) is a wholly owned Government corporation created by act of May 18, 1933 (16 U.S.C. 831-831dd). All functions of the Authority are vested in its nine-member Board of Directors, the members of which are appointed by the President with the advice and consent of the Senate. The Board designates one member as Chairman."
The White House Office,,"The White House Office serves the President in the performance of the many detailed activities incident to his immediate office.
The President's staff facilitates and maintains communication with the Congress, the heads of executive agencies, the press and other information media, and the general public. 
The various Assistants to the President aid the President in such matters as he may direct."
Thrift Depositor Protection Oversight Board,," Thrift Depositor Protection Oversight Board was originally established by Act of August 9, 1989 as the Oversight Board for the Resolution Trust Corporation. 
Under the general supervision of the Oversight Board, the Resolution Trust Corporation managed and resolved failed savings associations that were insured by the Federal Savings and Loan Insurance Corporation before the enactment of the Financial Institutions Reform, Recovery, and Enforcement Act of 1989. 
The name was changed to the Thrift Depositor Protection Oversight Board by act of Dec. 12, 1991. The Board was abolished by act of July 29, 1998 and its authority and duties were transferred to the Secretary of the Treasury Department."
Thrift Supervision Office,Treasury Department,"The Office of Thrift Supervision (OTS) regulates Federal- and State-chartered savings institutions. Created by the Financial Institutions 
Reform, Recovery, and Enforcement Act of 1989, its mission is to effectively and efficiently supervise Thrift institutions in a manner that encourages a competitive industry to meet housing and other credit and financial services needs and ensure access to financial services for all Americans."
Trade and Development Agency,,"The Trade and Development Agency advances economic development and U.S. commercial interest in developing and middle-income countries in the following regions of the world: East Asia, Europe and Eurasia, Latin America and the Caribbean, Middle East and North Africa, South and Southeast Asia, and Sub-Saharan Africa.
  
The Trade and Development Program was established on July 1, 1980, as a component organization of the International Development Cooperation Agency. Section 2204 of the Omnibus Trade and Competitiveness Act of 1988 (22 U.S.C. 2421) made it a separate component agency. The organization was renamed the Trade and Development Agency (USTDA) and made an independent agency within the executive branch of the Federal Government on October 28, 1992, by the Jobs Through Exports Act of 1992 (22 U.S.C. 2421)."
"Trade Representative, Office of United States",,"The Office of the United States Trade Representative was created as the 
Office of the Special Representative for Trade Negotiations by Executive Order 11075 of January 15, 1963. The Trade Act of 1974 (19 U.S.C. 2171) established the Office as an agency of the Executive Office of the President charged with administering the trade agreements program.
The Office of the United States Trade Representative is responsible for setting and administering overall trade policy. The Office is headed by the United States Trade Representative, a Cabinet-level official with the rank of Ambassador, who is directly responsible to the President. There are three Deputy United States Trade Representatives, who also hold the rank of Ambassador--two located in Washington and one in Geneva. The Chief Agricultural Negotiator also holds the rank of Ambassador.
The United States Trade Representative serves as an ex officio member of the Boards of Directors of the Export-Import Bank and the Overseas Private Investment Corporation, and serves on the National Advisory Council for International Monetary and Financial Policy."
Transportation Department,Transportation Department,"The U.S. Department of Transportation establishes the Nation's overall transportation policy. Under its umbrella are 11 administrations whose jurisdictions include highway planning, development, and construction; motor carrier safety; urban mass transit; railroads; aviation; and the safety of waterways, ports, highways, and oil and gas pipelines. Decisions made by the Department in conjunction with the appropriate State and local officials strongly affect other programs such as land planning, energy conservation, scarce resource utilization, and technological change. 
The Department of Transportation (DOT) was established by act of October 15, 1966, as amended (49 U.S.C. 102 and 102 note), ``to assure the coordinated, effective administration of the transportation programs of the Federal Government'' and to develop ``national transportation policies and programs conducive to the provision of fast, safe, efficient, and convenient transportation at the lowest cost consistent therewith.'' It became operational in April 1967 and was comprised of elements transferred from eight other major departments and agencies.
Secretary  The Department of Transportation is administered by the Secretary of Transportation, who is the principal adviser to the President in all matters relating to Federal transportation programs. Under Secretary  The Under Secretary for Policy serves as a principal policy advisor to the Secretary and provides leadership in policy development for the Department."
Transportation Department,Transportation Department,"The U.S. Department of Transportation establishes the Nation's overall transportation policy. Under its umbrella are 11 administrations whose jurisdictions include highway planning, development, and construction; motor carrier safety; urban mass transit; railroads; aviation; and the safety of waterways, ports, highways, and oil and gas pipelines. Decisions made by the Department in conjunction with the appropriate State and local officials strongly affect other programs such as land planning, energy conservation, scarce resource utilization, and technological change. 
The Department of Transportation (DOT) was established by act of October 15, 1966, as amended (49 U.S.C. 102 and 102 note), ``to assure the coordinated, effective administration of the transportation programs of the Federal Government'' and to develop ``national transportation policies and programs conducive to the provision of fast, safe, efficient, and convenient transportation at the lowest cost consistent therewith.'' It became operational in April 1967 and was comprised of elements transferred from eight other major departments and agencies.
Secretary  The Department of Transportation is administered by the Secretary of Transportation, who is the principal adviser to the President in all matters relating to Federal transportation programs. Under Secretary  The Under Secretary for Policy serves as a principal policy advisor to the Secretary and provides leadership in policy development for the Department."
Transportation Department,Transportation Department,"The U.S. Department of Transportation establishes the Nation's overall transportation policy. Under its umbrella are 11 administrations whose jurisdictions include highway planning, development, and construction; motor carrier safety; urban mass transit; railroads; aviation; and the safety of waterways, ports, highways, and oil and gas pipelines. Decisions made by the Department in conjunction with the appropriate State and local officials strongly affect other programs such as land planning, energy conservation, scarce resource utilization, and technological change. 
The Department of Transportation (DOT) was established by act of October 15, 1966, as amended (49 U.S.C. 102 and 102 note), ``to assure the coordinated, effective administration of the transportation programs of the Federal Government'' and to develop ``national transportation policies and programs conducive to the provision of fast, safe, efficient, and convenient transportation at the lowest cost consistent therewith.'' It became operational in April 1967 and was comprised of elements transferred from eight other major departments and agencies.
Secretary  The Department of Transportation is administered by the Secretary of Transportation, who is the principal adviser to the President in all matters relating to Federal transportation programs. Under Secretary  The Under Secretary for Policy serves as a principal policy advisor to the Secretary and provides leadership in policy development for the Department."
Transportation Department,Transportation Department,"The U.S. Department of Transportation establishes the Nation's overall transportation policy. Under its umbrella are 11 administrations whose jurisdictions include highway planning, development, and construction; motor carrier safety; urban mass transit; railroads; aviation; and the safety of waterways, ports, highways, and oil and gas pipelines. Decisions made by the Department in conjunction with the appropriate State and local officials strongly affect other programs such as land planning, energy conservation, scarce resource utilization, and technological change. 
The Department of Transportation (DOT) was established by act of October 15, 1966, as amended (49 U.S.C. 102 and 102 note), ``to assure the coordinated, effective administration of the transportation programs of the Federal Government'' and to develop ``national transportation policies and programs conducive to the provision of fast, safe, efficient, and convenient transportation at the lowest cost consistent therewith.'' It became operational in April 1967 and was comprised of elements transferred from eight other major departments and agencies.
Secretary  The Department of Transportation is administered by the Secretary of Transportation, who is the principal adviser to the President in all matters relating to Federal transportation programs. Under Secretary  The Under Secretary for Policy serves as a principal policy advisor to the Secretary and provides leadership in policy development for the Department."
Transportation Department,Transportation Department,"The U.S. Department of Transportation establishes the Nation's overall transportation policy. Under its umbrella are 11 administrations whose jurisdictions include highway planning, development, and construction; motor carrier safety; urban mass transit; railroads; aviation; and the safety of waterways, ports, highways, and oil and gas pipelines. Decisions made by the Department in conjunction with the appropriate State and local officials strongly affect other programs such as land planning, energy conservation, scarce resource utilization, and technological change. 
The Department of Transportation (DOT) was established by act of October 15, 1966, as amended (49 U.S.C. 102 and 102 note), ``to assure the coordinated, effective administration of the transportation programs of the Federal Government'' and to develop ``national transportation policies and programs conducive to the provision of fast, safe, efficient, and convenient transportation at the lowest cost consistent therewith.'' It became operational in April 1967 and was comprised of elements transferred from eight other major departments and agencies.
Secretary  The Department of Transportation is administered by the Secretary of Transportation, who is the principal adviser to the President in all matters relating to Federal transportation programs. Under Secretary  The Under Secretary for Policy serves as a principal policy advisor to the Secretary and provides leadership in policy development for the Department."
Transportation Department,Transportation Department,"The U.S. Department of Transportation establishes the Nation's overall transportation policy. Under its umbrella are 11 administrations whose jurisdictions include highway planning, development, and construction; motor carrier safety; urban mass transit; railroads; aviation; and the safety of waterways, ports, highways, and oil and gas pipelines. Decisions made by the Department in conjunction with the appropriate State and local officials strongly affect other programs such as land planning, energy conservation, scarce resource utilization, and technological change. 
The Department of Transportation (DOT) was established by act of October 15, 1966, as amended (49 U.S.C. 102 and 102 note), ``to assure the coordinated, effective administration of the transportation programs of the Federal Government'' and to develop ``national transportation policies and programs conducive to the provision of fast, safe, efficient, and convenient transportation at the lowest cost consistent therewith.'' It became operational in April 1967 and was comprised of elements transferred from eight other major departments and agencies.
Secretary  The Department of Transportation is administered by the Secretary of Transportation, who is the principal adviser to the President in all matters relating to Federal transportation programs. Under Secretary  The Under Secretary for Policy serves as a principal policy advisor to the Secretary and provides leadership in policy development for the Department."
Transportation Office,Agriculture Department,"The Office of Transportation is responsible for formulating agricultural transportation policy in USDA and promoting an efficient transportation system that improves farm income, expands exports, and meets the needs of rural America. The Office carries out its programs under Agricultural Adjustment Act of 1938 (52 Stat. 31; 7 U.S.C. 1281), the Agricultural Marketing Act of 1946 (60 Stat. 1087; 7 U.S.C. 1621), the Agricultural Trade Development and Assistance Act of 1954 (68 Stat. 454; 7 U.S.C. 1691), the Rural Development Act of 1972 (86 Stat. 657; 7 U.S.C. 1921 note), the international Carriage of Perishable Food Stuffs Act (96 Stat. 1603; 7 U.S.C. 4401), and the Cooperative Marketing Act  of 1926 (44 Stat. 802, 803; 7 U.S.C. 451—457)."
Transportation Security Administration,Homeland Security Department,The Transportation Security Administration protects the Nation's transportation systems to ensure freedom of movement for people and commerce.
Transportation Statistics Bureau,Transportation Department,"The Bureau of Transportation Statistics (BTS) was established as a statistical agency in 1992. The Intermodal Surface Transportation Efficiency Act (ISTEA) of 1991 created BTS to administer data collection, analysis, and reporting and to ensure the most cost-effective use of transportation-monitoring resources. BTS brings a greater degree of coordination, comparability, and quality standards to transportation data, and facilitates in the closing of important data gaps.
On February 20, 2005, BTS became a part of the Research and Innovative Technology Administration (RITA). RITA is composed of BTS, the former Research Office of the Research and Special Programs Administration (RSPA), Volpe National Transportation Systems Center (formerly with RSPA), Transportation Safety Institute (formerly with RSPA), and Office of Intermodalism (formerly with the Office of the Secretary). BTS is headed by a Director, appointed by the Secretary of Transportation, and the Director reports to the RITA Administrator.
BTS' basic authorizing legislation is the Safe, Accountable, Flexible, Efficient Transportation Equity Act: A Legacy for Users (SAFETEA-LU), which authorizes $27 million each year for a five year period (2005-2009). This funding comes from the Highway Trust Fund, and is administered within the Research and Development account under the Federal Highway Administration. 
BTS' data collection program for aviation is authorized under separate legislation enacted when the Civil Aeronautics Board (CAB) was terminated. This program is a mandatory data collection. The Wendell Ford Aviation Investment Reform Act (AIR-21) authorized funding for the airline information program from the Airport and Airways Trust Fund (AATF), but to date no funding has been appropriated. "
Travel and Tourism Administration,Commerce Department,
Treasury Department,Treasury Department,"The Treasury Department was created by act of September 2, 1789 (31 U.S.C. 301 and 301 note). Many subsequent acts have figured in the development of the Department, delegating new duties to its charge and establishing the numerous bureaus and divisions that now comprise the Treasury.
The Department of the Treasury performs four basic functions: formulating and recommending economic, financial, tax, and fiscal policies; serving as financial agent for the U.S. Government; enforcing the law; and manufacturing coins and currency."
Treasury Department,Treasury Department,"The Treasury Department was created by act of September 2, 1789 (31 U.S.C. 301 and 301 note). Many subsequent acts have figured in the development of the Department, delegating new duties to its charge and establishing the numerous bureaus and divisions that now comprise the Treasury.
The Department of the Treasury performs four basic functions: formulating and recommending economic, financial, tax, and fiscal policies; serving as financial agent for the U.S. Government; enforcing the law; and manufacturing coins and currency."
Treasury Department,Treasury Department,"The Treasury Department was created by act of September 2, 1789 (31 U.S.C. 301 and 301 note). Many subsequent acts have figured in the development of the Department, delegating new duties to its charge and establishing the numerous bureaus and divisions that now comprise the Treasury.
The Department of the Treasury performs four basic functions: formulating and recommending economic, financial, tax, and fiscal policies; serving as financial agent for the U.S. Government; enforcing the law; and manufacturing coins and currency."
Treasury Department,Treasury Department,"The Treasury Department was created by act of September 2, 1789 (31 U.S.C. 301 and 301 note). Many subsequent acts have figured in the development of the Department, delegating new duties to its charge and establishing the numerous bureaus and divisions that now comprise the Treasury.
The Department of the Treasury performs four basic functions: formulating and recommending economic, financial, tax, and fiscal policies; serving as financial agent for the U.S. Government; enforcing the law; and manufacturing coins and currency."
Treasury Department,Treasury Department,"The Treasury Department was created by act of September 2, 1789 (31 U.S.C. 301 and 301 note). Many subsequent acts have figured in the development of the Department, delegating new duties to its charge and establishing the numerous bureaus and divisions that now comprise the Treasury.
The Department of the Treasury performs four basic functions: formulating and recommending economic, financial, tax, and fiscal policies; serving as financial agent for the U.S. Government; enforcing the law; and manufacturing coins and currency."
Twenty-First Century Workforce Commission,,"The Twenty-First Century Workforce Commission was established by the Workforce Investment Act signed into law August 7, 1998.
The Commission was charged with studying all aspects of the information technology workforce in the United States, including the following issues:
1. What skills are currently required to enter the information technology workforce? What technical skills will be demanded in the near future?
2. How can the United States expand its number of skilled information technology workers?
 
3. How do information technology education programs in the United States compare with other countries in effectively training information technology workers? "
U.S. Citizenship and Immigration Services,Homeland Security Department,United States Citizenship and Immigration Services is responsible for the administration of immigration and naturalization adjudication functions and establishing immigration policies and priorities.
U.S. Commission on Improving Effectiveness of United Nations,,
U.S. Customs and Border Protection,Homeland Security Department,"United States Customs and Border Protection is responsible for protecting our Nation's borders in order to prevent terrorists and terrorist weapons from entering the United States, while facilitating the flow of legitimate trade and travel."
U.S. House of Representatives,,
U.S. Immigration and Customs Enforcement,Homeland Security Department,
U.S. Trade Deficit Review Commission,,
U.S.-China Economic and Security Review Commission,,
Uniformed Services University of the Health Sciences,Defense Department,"Authorized by act of September 21, 1972 (10 U.S.C. 2112), the Uniformed Services University of the Health Sciences was established to educate career-oriented medical officers for the Military Departments and the Public Health Service. The University currently incorporates the F. Edward Hebert School of Medicine (including graduate and continuing education programs) and the Graduate School of Nursing.
Students are selected by procedures recommended by the Board of Regents and prescribed by the Secretary of Defense. The actual selection is carried out by a faculty committee on admissions and is based upon motivation and dedication to a career in the uniformed services and an overall appraisal of the personal and intellectual characteristics of the candidates without regard to sex, race, religion, or national origin. Applicants must be U.S. citizens.
Medical school matriculants will be commissioned officers in one of the uniformed services. They must meet the physical and personal qualifications for such a commission and must give evidence of a strong commitment to serving as a uniformed medical officer. The graduating medical student is required to serve a period of obligation of not less than 7 years, excluding graduate medical education.
Students of the Graduate School of Nursing must be commissioned officers of the Army, Navy, Air Force, or Public Health Service prior to application. Graduate nursing students must serve a commitment determined by their respective service."
United States Claims Court (See US Court of Federal Claims),,
United States Court of Veterans Appeals (See US Court of Appeals for Veteran's Claims),,
United States Enrichment Corporation,,
United States Information Agency,,
United States Institute of Peace,,"The United States Institute of Peace promotes research, policy analysis, education, and training on international peace and conflict resolution.
The United States Institute of Peace (USIP) is an independent institution, established by Congress pursuant to title XVII of the Defense Authorization Act of 1985, as amended (22 U.S.C. 4601-4611). USIP's mission is to help prevent and resolve violent conflicts, promote post-conflict stablility and development, and increase peacebuilding capacity, tools, and intellectual capital worldwide. The Institute achieves this by empowering others with knowledge, skills, and resources, as well as by directly engaging in peacebuilding throughout the world."
United States Marshals Service,Justice Department,"The United States Marshals Service is the Nation's oldest Federal law enforcement agency, having served as a vital link between the executive and judicial branches of the Government since 1789. The Marshals Service performs tasks that are essential to the operation of virtually every aspect of the Federal justice system. "
United States Mint,Treasury Department,"The establishment of a mint was authorized by act of April 2, 1792 (1 Stat. 246). The Bureau of the Mint was established by act of February 12, 1873 (17 Stat. 424), and recodified on September 13, 1982 (31 U.S.C. 304, 5131). The name was changed to United States Mint by Secretarial order dated January 9, 1984.
The primary mission of the Mint is to produce an adequate volume of circulating coinage for the Nation to conduct its trade and commerce. The Mint also produces and sells numismatic coins, American Eagle gold and silver bullion coins, and national medals. In addition, the Fort Knox Bullion Depository is the primary storage facility for the Nation's gold bullion.
The U.S. Mint maintains sales centers at the Philadelphia and Denver Mints and at Union Station in Washington, DC. Public tours are conducted, with free admission, at the Philadelphia and Denver Mints."
United States Railway Association,,
United States Sentencing Commission,,"The United States Sentencing Commission develops sentencing guidelines and policies for the Federal court system.
The United States Sentencing Commission was established as an independent agency in the judicial branch of the Federal Government by the Sentencing Reform Act of 1984 (28 U.S.C. 991 et seq. and 18 U.S.C. 3551 et seq.). The Commission establishes sentencing guidelines and policies for the Federal courts, advising them of the appropriate form and severity of punishment for offenders convicted of Federal crimes."
United States--Pacific Trade and Investment Policy Commission,,"The Commission on United States-Pacific Trade and Investment Policy was established on June 21, 1995 by Executive Order 12964.
Composed of 15 members from the private sector, each with substantial knowledge or experience in dealing with Asian and Pacific markets, the commission was ordered to report to the President, by February 1, 1996, what steps the United States should take to achieve a significant opening of Japan, China, and other Asian and Pacific markets to U.S. business. "
Urban Reinvestment Task Force,,
Utah Reclamation Mitigation and Conservation Commission,,"The Utah Reclamation Mitigation and Conservation Commission is an Executive branch agency of the federal government. The Commission was established in late 1994 and early 1995.
The Commission was authorized under the Central Utah Project Completion Act of 1992. The Act set terms and conditions for completing the Central Utah Project, which diverts stores and delivers large quantities of water from numerous Utah rivers to meet the needs of central Utah's citizens.
CUPCA requires the Commission to adopt an annual Mitigation and Conservation Plan  that sets out the Commission’s priorities for implementing mitigation measures and programs required by the Act."
Valles Caldera Trust,,"The Valles Caldera Trust was created by the Valles Caldera Preservation Act of 2000 to preserve and protect the historic Baca Ranch of New Mexico’s Jemez Mountains. The groundbreaking legislation that provided for the federal purchase of this 89,000-acre ranch nestled inside a volcanic caldera also created a unique experiment in public land management.
A nine-member board of trustees is responsible for the protection and development of the Valles Caldera National Preserve."
Veterans Affairs Department,Veterans Affairs Department,"The Department of Veterans Affairs operates programs to benefit veterans and members of their families. Benefits include compensation payments for disabilities or death related to military service; pensions; education and rehabilitation; home loan guaranty; burial; and a medical care program incorporating nursing homes, clinics, and medical centers. The Department of Veterans Affairs (VA) was established as an executive department by the Department of Veterans Affairs Act (38 U.S.C. 201 note). It is comprised of three organizations that administer veterans programs: the Veterans Health Administration, the Veterans Benefits Administration, and the National Cemetery Administration. Each organization has field facilities and a central office component. Staff offices support the overall function of the Department and its Administrations."
Veterans Affairs Department,Veterans Affairs Department,"The Department of Veterans Affairs operates programs to benefit veterans and members of their families. Benefits include compensation payments for disabilities or death related to military service; pensions; education and rehabilitation; home loan guaranty; burial; and a medical care program incorporating nursing homes, clinics, and medical centers. The Department of Veterans Affairs (VA) was established as an executive department by the Department of Veterans Affairs Act (38 U.S.C. 201 note). It is comprised of three organizations that administer veterans programs: the Veterans Health Administration, the Veterans Benefits Administration, and the National Cemetery Administration. Each organization has field facilities and a central office component. Staff offices support the overall function of the Department and its Administrations."
